text,label
Prescription calls for Digoxin 1.5mg every 2 hours — unsafe.,overdose
Gabapentin 300mg as needed prescribed. No known allergies reported.,safe
Omeprazole 120mg three times daily. Exceeds maximum safe dosage.,overdose
Administer Aspirin 1500mg every 4 hours for bacterial infection.,overdose
Administer Amoxicillin 500mg orally once daily. Indication: hypothyroidism.,safe
Continue Aspirin 75mg and start Ibuprofen 400mg concurrently.,drug_interaction
Administer Gabapentin 4800mg as loading dose without tapering.,overdose
Sertraline 50mg three times daily as needed for chronic pain. Max 50mg per dose.,safe
Digoxin and Amiodarone prescribed together — potential serious interaction.,drug_interaction
Administer Paracetamol 5000mg as loading dose without tapering.,overdose
Patient taking Codeine 30mg and Sertraline 50mg simultaneously.,drug_interaction
Take Aspirin 75mg with food twice daily for hypothyroidism.,safe
Combination therapy: Warfarin 75mg + Aspirin 75mg for urinary tract infection.,drug_interaction
Prescription calls for Aspirin 1500mg every 2 hours — unsafe.,overdose
Aspirin 75mg once daily along with Ibuprofen 400mg daily.,drug_interaction
Metformin and Contrast Dye prescribed together — potential serious interaction.,drug_interaction
Aspirin 1500mg as needed ordered. Potential overdose risk detected.,overdose
Prescribed Amoxicillin 3000mg orally. Standard max is 500mg.,overdose
Prescription: Warfarin 5mg as needed for mild epilepsy.,safe
Co-prescribe Warfarin with Omeprazole for chronic pain.,drug_interaction
Codeine 30mg twice daily prescribed. No known allergies reported.,safe
Add Codeine 30mg to existing regimen of Gabapentin 300mg.,drug_interaction
Patient taking Aspirin 75mg and Ibuprofen 400mg simultaneously.,drug_interaction
Digoxin 0.125mg once daily at bedtime for hypothyroidism.,safe
Ibuprofen 2400mg daily for chronic type 2 diabetes — far above guidelines.,overdose
Patient prescribed Paracetamol 500mg twice daily for chronic pain.,safe
Sertraline 50mg once daily as needed for anxiety disorder. Max 50mg per dose.,safe
Take Omeprazole 20mg with food twice daily for hypertension.,safe
Sertraline 400mg daily for chronic type 2 diabetes — far above guidelines.,overdose
Continue Lisinopril 10mg and start Spironolactone 25mg concurrently.,drug_interaction
Patient taking Warfarin 75mg and Aspirin 75mg simultaneously.,drug_interaction
Administer Levothyroxine 50mcg orally twice daily. Indication: high cholesterol.,safe
Administer Lisinopril 80mg every 4 hours for heart failure.,overdose
Metformin 3500mg every 6 hours; maximum recommended is 500mg per day.,overdose
Warfarin 30mg every 8 hours ordered. Potential overdose risk detected.,overdose
Administer Lisinopril 10mg orally as needed. Indication: type 2 diabetes.,safe
Start Digoxin 0.125mg three times daily for osteoarthritis. Monitor after 2 weeks.,safe
Take Atorvastatin 20mg with food every 8 hours for chronic pain.,safe
Omeprazole 20mg as needed as needed for epilepsy. Max 20mg per dose.,safe
Take Digoxin 1.5mg as needed — dose is critically high for anxiety disorder.,overdose
Patient to take Lisinopril 10mg as needed with plenty of water.,safe
Combination therapy: Atorvastatin 20mg + Clarithromycin 250mg for migraine.,drug_interaction
Gabapentin 300mg every 12 hours as needed for depression. Max 300mg per dose.,safe
Administer Amoxicillin 500mg orally every 8 hours. Indication: osteoarthritis.,safe
Patient prescribed Amlodipine 50mg once daily for depression.,overdose
Patient on Ibuprofen; new prescription for Warfarin for hypertension.,drug_interaction
Prescription: Levothyroxine 50mcg as needed for mild heart failure.,safe
Lisinopril 80mg three times daily. Exceeds maximum safe dosage.,overdose
